[1618510752338029] [ReadPayload] Status: Started new logger at ./read_payload.log
[1618510752338047] [ReadPayload] Payload filename: payload.jpeg
[1618510752338051] [ReadPayload] Fragmentation size: 1000 bytes
[1618510752347527] [ReadPayload] File size: 142561 bytes = 1140488 bits
[1618510752347555] [ReadPayload] Number of fragments: 1140
[1618510752347569] [ReadPayload] Remaining bits: 520
[1618510752352581] [ReadPayload] File size + payload: 1140520
[1618510752352602] [ReadPayload] Pushing fragment: 0
[1618510752352608] [ReadPayload] Pushing fragment: 1
[1618510752352623] [ReadPayload] Pushing fragment: 2
[1618510752352628] [ReadPayload] Pushing fragment: 3
[1618510752352642] [ReadPayload] Pushing fragment: 4
[1618510752352647] [ReadPayload] Pushing fragment: 5
[1618510752352652] [ReadPayload] Pushing fragment: 6
[1618510752352658] [ReadPayload] Pushing fragment: 7
[1618510752352664] [ReadPayload] Pushing fragment: 8
[1618510752352670] [ReadPayload] Pushing fragment: 9
[1618510752352676] [ReadPayload] Pushing fragment: 10
[1618510752352682] [ReadPayload] Pushing fragment: 11
[1618510752352688] [ReadPayload] Pushing fragment: 12
[1618510752352695] [ReadPayload] Pushing fragment: 13
[1618510752352711] [ReadPayload] Pushing fragment: 14
[1618510752352718] [ReadPayload] Pushing fragment: 15
[1618510752352726] [ReadPayload] Pushing fragment: 16
[1618510752352732] [ReadPayload] Pushing fragment: 17
[1618510752352739] [ReadPayload] Pushing fragment: 18
[1618510752352746] [ReadPayload] Pushing fragment: 19
[1618510752352753] [ReadPayload] Pushing fragment: 20
[1618510752352770] [ReadPayload] Pushing fragment: 21
[1618510752352778] [ReadPayload] Pushing fragment: 22
[1618510752352794] [ReadPayload] Pushing fragment: 23
[1618510752352801] [ReadPayload] Pushing fragment: 24
[1618510752352817] [ReadPayload] Pushing fragment: 25
[1618510752352823] [ReadPayload] Pushing fragment: 26
[1618510752352829] [ReadPayload] Pushing fragment: 27
[1618510752352834] [ReadPayload] Pushing fragment: 28
[1618510752352839] [ReadPayload] Pushing fragment: 29
[1618510752352853] [ReadPayload] Pushing fragment: 30
[1618510752352858] [ReadPayload] Pushing fragment: 31
[1618510752352862] [ReadPayload] Pushing fragment: 32
[1618510752352867] [ReadPayload] Pushing fragment: 33
[1618510752352871] [ReadPayload] Pushing fragment: 34
[1618510752352876] [ReadPayload] Pushing fragment: 35
[1618510752352893] [ReadPayload] Pushing fragment: 36
[1618510752352898] [ReadPayload] Pushing fragment: 37
[1618510752352914] [ReadPayload] Pushing fragment: 38
[1618510752352920] [ReadPayload] Pushing fragment: 39
[1618510752352926] [ReadPayload] Pushing fragment: 40
[1618510752352932] [ReadPayload] Pushing fragment: 41
[1618510752352938] [ReadPayload] Pushing fragment: 42
[1618510752352945] [ReadPayload] Pushing fragment: 43
[1618510752352951] [ReadPayload] Pushing fragment: 44
[1618510752352957] [ReadPayload] Pushing fragment: 45
[1618510752352963] [ReadPayload] Pushing fragment: 46
[1618510752352970] [ReadPayload] Pushing fragment: 47
[1618510752352976] [ReadPayload] Pushing fragment: 48
[1618510752352983] [ReadPayload] Pushing fragment: 49
[1618510752352989] [ReadPayload] Pushing fragment: 50
[1618510752352995] [ReadPayload] Pushing fragment: 51
[1618510752353001] [ReadPayload] Pushing fragment: 52
[1618510752353008] [ReadPayload] Pushing fragment: 53
[1618510752353013] [ReadPayload] Pushing fragment: 54
[1618510752353018] [ReadPayload] Pushing fragment: 55
[1618510752353023] [ReadPayload] Pushing fragment: 56
[1618510752353028] [ReadPayload] Pushing fragment: 57
[1618510752353034] [ReadPayload] Pushing fragment: 58
[1618510752353039] [ReadPayload] Pushing fragment: 59
[1618510752353044] [ReadPayload] Pushing fragment: 60
[1618510752353049] [ReadPayload] Pushing fragment: 61
[1618510752353053] [ReadPayload] Pushing fragment: 62
[1618510752353057] [ReadPayload] Pushing fragment: 63
[1618510752353061] [ReadPayload] Pushing fragment: 64
[1618510752353064] [ReadPayload] Pushing fragment: 65
[1618510752353068] [ReadPayload] Pushing fragment: 66
[1618510752353072] [ReadPayload] Pushing fragment: 67
[1618510752353080] [ReadPayload] Pushing fragment: 68
[1618510752353084] [ReadPayload] Pushing fragment: 69
[1618510752353088] [ReadPayload] Pushing fragment: 70
[1618510752353092] [ReadPayload] Pushing fragment: 71
[1618510752353096] [ReadPayload] Pushing fragment: 72
[1618510752353100] [ReadPayload] Pushing fragment: 73
[1618510752353103] [ReadPayload] Pushing fragment: 74
[1618510752353107] [ReadPayload] Pushing fragment: 75
[1618510752353111] [ReadPayload] Pushing fragment: 76
[1618510752353115] [ReadPayload] Pushing fragment: 77
[1618510752353119] [ReadPayload] Pushing fragment: 78
[1618510752353123] [ReadPayload] Pushing fragment: 79
[1618510752353127] [ReadPayload] Pushing fragment: 80
[1618510752353130] [ReadPayload] Pushing fragment: 81
[1618510752353134] [ReadPayload] Pushing fragment: 82
[1618510752353140] [ReadPayload] Pushing fragment: 83
[1618510752353143] [ReadPayload] Pushing fragment: 84
[1618510752353147] [ReadPayload] Pushing fragment: 85
[1618510752353152] [ReadPayload] Pushing fragment: 86
[1618510752353156] [ReadPayload] Pushing fragment: 87
[1618510752353160] [ReadPayload] Pushing fragment: 88
[1618510752353163] [ReadPayload] Pushing fragment: 89
[1618510752353168] [ReadPayload] Pushing fragment: 90
[1618510752353172] [ReadPayload] Pushing fragment: 91
[1618510752353176] [ReadPayload] Pushing fragment: 92
[1618510752353180] [ReadPayload] Pushing fragment: 93
[1618510752353186] [ReadPayload] Pushing fragment: 94
[1618510752353190] [ReadPayload] Pushing fragment: 95
[1618510752353196] [ReadPayload] Pushing fragment: 96
[1618510752353202] [ReadPayload] Pushing fragment: 97
[1618510752353208] [ReadPayload] Pushing fragment: 98
[1618510752353215] [ReadPayload] Pushing fragment: 99
[1618510752353222] [ReadPayload] Pushing fragment: 100
[1618510752353228] [ReadPayload] Pushing fragment: 101
[1618510752353235] [ReadPayload] Pushing fragment: 102
[1618510752353242] [ReadPayload] Pushing fragment: 103
[1618510752353248] [ReadPayload] Pushing fragment: 104
[1618510752353255] [ReadPayload] Pushing fragment: 105
[1618510752353262] [ReadPayload] Pushing fragment: 106
[1618510752353269] [ReadPayload] Pushing fragment: 107
[1618510752353275] [ReadPayload] Pushing fragment: 108
[1618510752353282] [ReadPayload] Pushing fragment: 109
[1618510752353288] [ReadPayload] Pushing fragment: 110
[1618510752353295] [ReadPayload] Pushing fragment: 111
[1618510752353301] [ReadPayload] Pushing fragment: 112
[1618510752353308] [ReadPayload] Pushing fragment: 113
[1618510752353315] [ReadPayload] Pushing fragment: 114
[1618510752353321] [ReadPayload] Pushing fragment: 115
[1618510752353329] [ReadPayload] Pushing fragment: 116
[1618510752353336] [ReadPayload] Pushing fragment: 117
[1618510752353342] [ReadPayload] Pushing fragment: 118
[1618510752353349] [ReadPayload] Pushing fragment: 119
[1618510752353356] [ReadPayload] Pushing fragment: 120
[1618510752353362] [ReadPayload] Pushing fragment: 121
[1618510752353368] [ReadPayload] Pushing fragment: 122
[1618510752353375] [ReadPayload] Pushing fragment: 123
[1618510752353381] [ReadPayload] Pushing fragment: 124
[1618510752353388] [ReadPayload] Pushing fragment: 125
[1618510752353395] [ReadPayload] Pushing fragment: 126
[1618510752353401] [ReadPayload] Pushing fragment: 127
[1618510752353407] [ReadPayload] Pushing fragment: 128
[1618510752353415] [ReadPayload] Pushing fragment: 129
[1618510752353421] [ReadPayload] Pushing fragment: 130
[1618510752353427] [ReadPayload] Pushing fragment: 131
[1618510752353433] [ReadPayload] Pushing fragment: 132
[1618510752353440] [ReadPayload] Pushing fragment: 133
[1618510752353447] [ReadPayload] Pushing fragment: 134
[1618510752353453] [ReadPayload] Pushing fragment: 135
[1618510752353461] [ReadPayload] Pushing fragment: 136
[1618510752353467] [ReadPayload] Pushing fragment: 137
[1618510752353473] [ReadPayload] Pushing fragment: 138
[1618510752353480] [ReadPayload] Pushing fragment: 139
[1618510752353487] [ReadPayload] Pushing fragment: 140
[1618510752353493] [ReadPayload] Pushing fragment: 141
[1618510752353499] [ReadPayload] Pushing fragment: 142
[1618510752353508] [ReadPayload] Pushing fragment: 143
[1618510752353514] [ReadPayload] Pushing fragment: 144
[1618510752353521] [ReadPayload] Pushing fragment: 145
[1618510752353528] [ReadPayload] Pushing fragment: 146
[1618510752353534] [ReadPayload] Pushing fragment: 147
[1618510752353540] [ReadPayload] Pushing fragment: 148
[1618510752353548] [ReadPayload] Pushing fragment: 149
[1618510752353554] [ReadPayload] Pushing fragment: 150
[1618510752353560] [ReadPayload] Pushing fragment: 151
[1618510752353566] [ReadPayload] Pushing fragment: 152
[1618510752353573] [ReadPayload] Pushing fragment: 153
[1618510752353579] [ReadPayload] Pushing fragment: 154
[1618510752353586] [ReadPayload] Pushing fragment: 155
[1618510752353593] [ReadPayload] Pushing fragment: 156
[1618510752353600] [ReadPayload] Pushing fragment: 157
[1618510752353606] [ReadPayload] Pushing fragment: 158
[1618510752353613] [ReadPayload] Pushing fragment: 159
[1618510752353619] [ReadPayload] Pushing fragment: 160
[1618510752353625] [ReadPayload] Pushing fragment: 161
[1618510752353632] [ReadPayload] Pushing fragment: 162
[1618510752353640] [ReadPayload] Pushing fragment: 163
[1618510752353646] [ReadPayload] Pushing fragment: 164
[1618510752353652] [ReadPayload] Pushing fragment: 165
[1618510752353660] [ReadPayload] Pushing fragment: 166
[1618510752353666] [ReadPayload] Pushing fragment: 167
[1618510752353672] [ReadPayload] Pushing fragment: 168
[1618510752353679] [ReadPayload] Pushing fragment: 169
[1618510752353686] [ReadPayload] Pushing fragment: 170
[1618510752353692] [ReadPayload] Pushing fragment: 171
[1618510752353698] [ReadPayload] Pushing fragment: 172
[1618510752353705] [ReadPayload] Pushing fragment: 173
[1618510752353712] [ReadPayload] Pushing fragment: 174
[1618510752353718] [ReadPayload] Pushing fragment: 175
[1618510752353725] [ReadPayload] Pushing fragment: 176
[1618510752353732] [ReadPayload] Pushing fragment: 177
[1618510752353738] [ReadPayload] Pushing fragment: 178
[1618510752353745] [ReadPayload] Pushing fragment: 179
[1618510752353751] [ReadPayload] Pushing fragment: 180
[1618510752353757] [ReadPayload] Pushing fragment: 181
[1618510752353763] [ReadPayload] Pushing fragment: 182
[1618510752353771] [ReadPayload] Pushing fragment: 183
[1618510752353777] [ReadPayload] Pushing fragment: 184
[1618510752353784] [ReadPayload] Pushing fragment: 185
[1618510752353791] [ReadPayload] Pushing fragment: 186
[1618510752353797] [ReadPayload] Pushing fragment: 187
[1618510752353804] [ReadPayload] Pushing fragment: 188
[1618510752353813] [ReadPayload] Pushing fragment: 189
[1618510752353819] [ReadPayload] Pushing fragment: 190
[1618510752353826] [ReadPayload] Pushing fragment: 191
[1618510752353832] [ReadPayload] Pushing fragment: 192
[1618510752353839] [ReadPayload] Pushing fragment: 193
[1618510752353846] [ReadPayload] Pushing fragment: 194
[1618510752353852] [ReadPayload] Pushing fragment: 195
[1618510752353859] [ReadPayload] Pushing fragment: 196
[1618510752353865] [ReadPayload] Pushing fragment: 197
[1618510752353872] [ReadPayload] Pushing fragment: 198
[1618510752353879] [ReadPayload] Pushing fragment: 199
[1618510752353885] [ReadPayload] Pushing fragment: 200
[1618510752353891] [ReadPayload] Pushing fragment: 201
[1618510752353897] [ReadPayload] Pushing fragment: 202
[1618510752353904] [ReadPayload] Pushing fragment: 203
[1618510752353911] [ReadPayload] Pushing fragment: 204
[1618510752353917] [ReadPayload] Pushing fragment: 205
[1618510752353924] [ReadPayload] Pushing fragment: 206
[1618510752353931] [ReadPayload] Pushing fragment: 207
[1618510752353937] [ReadPayload] Pushing fragment: 208
[1618510752353944] [ReadPayload] Pushing fragment: 209
[1618510752353951] [ReadPayload] Pushing fragment: 210
[1618510752353957] [ReadPayload] Pushing fragment: 211
[1618510752353963] [ReadPayload] Pushing fragment: 212
[1618510752353971] [ReadPayload] Pushing fragment: 213
[1618510752353978] [ReadPayload] Pushing fragment: 214
[1618510752353984] [ReadPayload] Pushing fragment: 215
[1618510752353991] [ReadPayload] Pushing fragment: 216
[1618510752353997] [ReadPayload] Pushing fragment: 217
[1618510752354006] [ReadPayload] Pushing fragment: 218
[1618510752354013] [ReadPayload] Pushing fragment: 219
[1618510752354019] [ReadPayload] Pushing fragment: 220
[1618510752354025] [ReadPayload] Pushing fragment: 221
[1618510752354032] [ReadPayload] Pushing fragment: 222
