[1613064371017862] [Filter] Status: Started new logger at ./filter.log
[1613064371018099] [Filter] Down-sampling factor D: 1
[1613064371018122] [Filter] Up-sampling factor U: 1
[1613064371018142] [Filter] Filter length: 2
[1613064371018163] [Filter] Tap: 0.006765 + i * 0.000000
[1613064371018179] [Filter] Tap: 0.016752 + i * 0.000000
[1613064371117862] [Filter] Filter output length: 10000
[1613064371228701] [Filter] Sample: -0.003845 + i * -0.002716
[1613064371228717] [Filter] Sample: -0.005158 + i * 0.001190
[1613064371228723] [Filter] Sample: -0.004334 + i * -0.002380
[1613064371228729] [Filter] Sample: -0.007752 + i * 0.003937
[1613064371228735] [Filter] Sample: -0.007202 + i * 0.002197
[1613064371228742] [Filter] Sample: -0.007172 + i * 0.002472
[1613064371228748] [Filter] Sample: -0.002411 + i * -0.004517
[1613064371228755] [Filter] Sample: -0.004456 + i * -0.000519
[1613064371228761] [Filter] Sample: -0.000641 + i * 0.000336
[1613064371228767] [Filter] Sample: 0.000793 + i * 0.000214
[1613064371228776] [Filter] Sample: -0.003327 + i * -0.002197
[1613064371228782] [Filter] Sample: -0.005676 + i * -0.029023
[1613064371228789] [Filter] Sample: -0.011506 + i * -0.032899
[1613064371228795] [Filter] Sample: -0.015595 + i * -0.032746
[1613064371228804] [Filter] Sample: -0.011689 + i * -0.033326
[1613064371228811] [Filter] Sample: -0.008423 + i * -0.032869
[1613064371228817] [Filter] Sample: -0.015137 + i * -0.033723
[1613064371228822] [Filter] Sample: -0.015687 + i * -0.034272
[1613064371228829] [Filter] Sample: -0.012238 + i * -0.034303
[1613064371228835] [Filter] Sample: -0.008118 + i * -0.033937
[1613064371228841] [Filter] Sample: -0.013092 + i * -0.034730
[1613064371228848] [Filter] Sample: -0.008942 + i * -0.034455
[1613064371228856] [Filter] Sample: -0.012574 + i * -0.035341
[1613064371228863] [Filter] Sample: -0.009461 + i * -0.035127
[1613064371228869] [Filter] Sample: -0.006928 + i * -0.034822
[1613064371228878] [Filter] Sample: -0.013154 + i * -0.036378
[1613064371228885] [Filter] Sample: -0.008515 + i * -0.035615
[1613064371228891] [Filter] Sample: -0.009369 + i * -0.034852
[1613064371228897] [Filter] Sample: -0.007416 + i * -0.035249
[1613064371228906] [Filter] Sample: -0.000153 + i * -0.034150
[1613064371228911] [Filter] Sample: -0.004486 + i * -0.035524
[1613064371228918] [Filter] Sample: -0.009034 + i * -0.037355
[1613064371228922] [Filter] Sample: -0.005005 + i * -0.036073
[1613064371228930] [Filter] Sample: -0.004120 + i * -0.036195
[1613064371228936] [Filter] Sample: 0.002258 + i * -0.033845
[1613064371228942] [Filter] Sample: -0.002564 + i * -0.036195
[1613064371228950] [Filter] Sample: -0.005890 + i * -0.037538
[1613064371228955] [Filter] Sample: -0.003723 + i * -0.037019
[1613064371228961] [Filter] Sample: 0.000519 + i * -0.035676
[1613064371228968] [Filter] Sample: -0.000671 + i * -0.036012
[1613064371228977] [Filter] Sample: -0.003113 + i * -0.037752
[1613064371228983] [Filter] Sample: -0.004822 + i * -0.038881
[1613064371228989] [Filter] Sample: -0.000916 + i * -0.036897
[1613064371228995] [Filter] Sample: -0.001587 + i * -0.037813
[1613064371229004] [Filter] Sample: 0.004120 + i * -0.035279
[1613064371229010] [Filter] Sample: 0.007019 + i * -0.033265
[1613064371229025] [Filter] Sample: 0.003693 + i * -0.036103
[1613064371229034] [Filter] Sample: 0.001984 + i * -0.036500
[1613064371229041] [Filter] Sample: -0.001556 + i * -0.036531
[1613064371229057] [Filter] Sample: 0.004944 + i * -0.036195
[1613064371229063] [Filter] Sample: 0.004578 + i * -0.036256
[1613064371229071] [Filter] Sample: 0.002228 + i * -0.038759
[1613064371229077] [Filter] Sample: 0.003998 + i * -0.037568
[1613064371229084] [Filter] Sample: 0.003662 + i * -0.038179
[1613064371229090] [Filter] Sample: 0.009217 + i * -0.033815
[1613064371229098] [Filter] Sample: 0.008759 + i * -0.034944
[1613064371229104] [Filter] Sample: 0.006256 + i * -0.037324
[1613064371229110] [Filter] Sample: 0.007630 + i * -0.036500
[1613064371229117] [Filter] Sample: 0.007691 + i * -0.036683
[1613064371229125] [Filter] Sample: 0.006684 + i * -0.037935
[1613064371229131] [Filter] Sample: 0.008240 + i * -0.037141
[1613064371229144] [Filter] Sample: 0.012360 + i * -0.033815
[1613064371229154] [Filter] Sample: 0.010132 + i * -0.035707
