[1611691460779451] [Process] Status: Started new logger at ./process.log
[1611691460979692] [Process] Block #: 0	Average power: 0.001216
[1611691460979731] [Process] Block #: 1	Average power: 0.001361
[1611691460979756] [Process] Block #: 2	Average power: 0.001343
[1611691460980037] [Process] Block #: 3	Average power: 0.001296
[1611691460980079] [Process] Block #: 4	Average power: 0.001304
[1611691460980109] [Process] Block #: 5	Average power: 0.001258
[1611691460980134] [Process] Block #: 6	Average power: 0.001239
[1611691460980347] [Process] Block #: 7	Average power: 0.001217
[1611691460980371] [Process] Block #: 8	Average power: 0.001212
[1611691460980395] [Process] Block #: 9	Average power: 0.001178
[1611691460980485] [Process] Processing thread is done and closing
[1611691460980492] [Process] Status: Closing the logger
