[1611947284479592] [Process 0] Status: Started new logger at ./process0.log
[1611947284683668] [Process 0] Thread: 0	Block #: 0	Average power: 0.001006
[1611947284687168] [Process 0] Thread: 0	Block #: 1	Average power: 0.000505
[1611947284690797] [Process 0] Thread: 0	Block #: 2	Average power: 0.000259
[1611947284694423] [Process 0] Thread: 0	Block #: 3	Average power: 0.000137
[1611947284698054] [Process 0] Thread: 0	Block #: 4	Average power: 0.000077
[1611947284701672] [Process 0] Thread: 0	Block #: 5	Average power: 0.000045
[1611947284705278] [Process 0] Thread: 0	Block #: 6	Average power: 0.000030
[1611947284708914] [Process 0] Thread: 0	Block #: 7	Average power: 0.000022
[1611947284712533] [Process 0] Thread: 0	Block #: 8	Average power: 0.000017
[1611947284716227] [Process 0] Thread: 0	Block #: 9	Average power: 0.000017
[1611947284719791] [Process 0] Thread: 0	Block #: 10	Average power: 0.000014
[1611947284723421] [Process 0] Thread: 0	Block #: 11	Average power: 0.000014
[1611947284727060] [Process 0] Thread: 0	Block #: 12	Average power: 0.000018
[1611947284730677] [Process 0] Thread: 0	Block #: 13	Average power: 0.000015
[1611947284734313] [Process 0] Thread: 0	Block #: 14	Average power: 0.000016
[1611947284737940] [Process 0] Thread: 0	Block #: 15	Average power: 0.000017
[1611947284741567] [Process 0] Thread: 0	Block #: 16	Average power: 0.000015
[1611947284745198] [Process 0] Thread: 0	Block #: 17	Average power: 0.000012
[1611947284748842] [Process 0] Thread: 0	Block #: 18	Average power: 0.000014
[1611947284752478] [Process 0] Thread: 0	Block #: 19	Average power: 0.000013
[1611947284756095] [Process 0] Thread: 0	Block #: 20	Average power: 0.000013
[1611947284759719] [Process 0] Thread: 0	Block #: 21	Average power: 0.000012
[1611947284763416] [Process 0] Thread: 0	Block #: 22	Average power: 0.000012
[1611947284766979] [Process 0] Thread: 0	Block #: 23	Average power: 0.000016
[1611947284770593] [Process 0] Thread: 0	Block #: 24	Average power: 0.000014
[1611947284774240] [Process 0] Thread: 0	Block #: 25	Average power: 0.000014
[1611947284777858] [Process 0] Thread: 0	Block #: 26	Average power: 0.000014
